Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2943","Meat","2020","2020","kcal/capita/day","304","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2949","Eggs","2016","2016","kcal/capita/day","66","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2949","Eggs","2017","2017","kcal/capita/day","65","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2949","Eggs","2018","2018","kcal/capita/day","66","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2949","Eggs","2019","2019","kcal/capita/day","63","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2949","Eggs","2020","2020","kcal/capita/day","62","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2016","2016","kcal/capita/day","409","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","388","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2018","2018","kcal/capita/day","413","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2019","2019","kcal/capita/day","470","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2948","Milk - Excluding Butter","2020","2020","kcal/capita/day","472","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2016","2016","kcal/capita/day","72","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2017","2017","kcal/capita/day","76","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2018","2018","kcal/capita/day","75","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2019","2019","kcal/capita/day","75","E","Estimated value"
